No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.69B,35.12,25.71,3.07,5.30,4.91,8.85,43.63,0.82%,24.00%,2.10,49.40%,10.84%,-8.50%,11.45%,-8.20%,40.50%,7.00%,322.00M,320.81M,0.20%,-37.35%,87.50%,0.20%,1.31%,2.27,8.40%,15.10%,10.60%,3.30,2.80,0.37,0.42,53.90%,18.80%,15.30%,2.11%,8.98%,9.79%,21.54%,55.40%,9.87%,1.28,1.02,1.26%,1.40%,4.92%,7.01%,16.64%,-0.67%,12.16%,-0.67%,56.39%,71.21,-0.11%,0.30%,1.70,1.85M,0.95,73.58,0.19%,"1,754,331",Nov 20/a
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,9.84B,45.99,14.14,-,0.84,1.68,8.12,16.22,-,0.00%,1.16,153.10%,0.69%,-,-,-,-,27.30%,184.67M,171.91M,6.75%,-1.81%,85.70%,6.24%,7.38%,2.92,0.90%,2.60%,10.20%,1.40,0.90,0.24,0.24,22.10%,5.00%,1.30%,-6.47%,8.80%,11.20%,42.90%,42.13%,-1.06%,-,1.70,2.90%,2.92%,-1.52%,12.59%,31.11%,-7.30%,32.52%,-7.30%,80.37%,55.48,0.76%,0.78%,2.00,4.35M,0.58,53.30,1.54%,"2,521,352",Jan 17/a
3,AAAP,Advanced Accelerator Applications S.A.,Healthcare,Diagnostic Substances,France,3.63B,-,-,-,22.08,11.14,15.40,-,-,-,-1.61,-24.00%,36.20%,-,-,26.40%,-224.00%,39.30%,44.12M,4.69M,41.72%,-,40.00%,2.56%,2.31%,0.15,-14.50%,-20.40%,-6.30%,5.50,5.20,0.04,0.05,74.20%,-21.30%,-43.60%,0.59%,0.82%,14.80%,96.70%,181.92%,0.86%,-,0.19,0.40%,0.18%,0.62%,0.96%,44.52%,-0.51%,1.76%,-0.51%,186.73%,69.52,0.45%,-0.09%,2.60,744.38K,0.01,82.32,0.37%,"7,485",Feb 16/b
4,AABA,Altaba Inc.,Financial,Asset Management,USA,67.84B,41.57,146.81,-,46.01,1.44,169596.62,-,-,-,1.87,95.10%,-1.90%,-17.90%,-3.19%,0.70%,-,-,871.85M,800.50M,8.35%,-1.66%,84.20%,0.56%,2.93%,2.51,-,-,-1.60%,-,-,0.02,0.02,47.50%,-,-,4.95%,8.69%,16.99%,33.99%,77.24%,11.40%,1.95,1.54,2.10%,1.91%,5.28%,8.16%,25.98%,0.75%,16.80%,0.75%,79.16%,67.92,0.88%,0.73%,2.00,9.34M,0.67,77.81,1.62%,"6,245,947",-
5,AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,209.88M,-,16.85,-,0.69,1.23,12.80,-,-,-,-0.06,-105.40%,-1.48%,-21.20%,20.00%,58.20%,129.50%,14.00%,23.45M,12.10M,20.70%,-16.05%,48.20%,0.12%,24.40%,17.45,-0.30%,-0.80%,0.50%,3.30,3.30,1.31,1.34,-,1.90%,-0.40%,-0.89%,2.87%,5.92%,34.38%,9.55%,-0.56%,-,0.30,2.13%,3.32%,-1.66%,-1.90%,7.80%,-21.49%,8.35%,-31.44%,49.42%,47.53,-1.32%,0.55%,1.70,169.23K,0.70,8.95,-0.78%,"117,818",Feb 26/a
6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,0.74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29,-,-,-,-,-,-,-,-,-,-,-0.72%,6.07%,7.48%,25.69%,41.02%,5.74%,-,0.68,0.98%,1.04%,1.73%,6.36%,18.03%,-2.77%,14.79%,-2.77%,42.31%,63.48,-0.19%,0.39%,-,42.99K,1.12,62.23,0.19%,"47,993",-
7,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,26.34B,13.94,10.25,2.49,0.64,6.73,4.57,-,0.73%,10.10%,3.93,-56.50%,10.73%,18.20%,5.61%,10.90%,-8.00%,2.70%,480.81M,473.97M,0.70%,-7.99%,82.80%,0.07%,4.10%,4.57,3.70%,52.30%,13.00%,0.70,0.60,5.63,6.25,60.00%,10.00%,4.70%,-5.79%,3.79%,7.47%,8.26%,15.25%,5.30%,1.06,1.44,2.09%,2.14%,0.09%,6.52%,12.03%,-7.26%,21.03%,-7.26%,39.73%,51.83,0.81%,-6.76%,2.20,4.25M,3.84,54.79,-6.00%,"16,342,698",Jan 25/b
8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,109.37M,-,-,-,5.91,-,3.33,218.75,-,-,-4.51,-84.90%,-,-,-,-,-106.60%,-10.20%,1.57M,0.71M,3.70%,0.00%,34.50%,-,7.90%,31.99,-11.40%,3.60%,3.10%,-,-,-,-,-,-41.10%,-38.10%,-12.91%,-3.51%,-21.68%,-22.51%,35.27%,-14.63%,2.24,3.70,1.19%,3.52%,-8.75%,-11.40%,-14.66%,-21.06%,5.27%,-39.94%,31.82%,41.21,0.02%,2.88%,-,1.74K,0.43,69.66,2.90%,752,Feb 06/b
9,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,67.76M,23.96,-,-,0.39,0.64,7.13,30.80,0.58%,13.90%,0.14,-43.60%,-,-2.60%,-,7.00%,401.30%,5.70%,19.64M,4.15M,4.60%,0.00%,5.20%,-1.16%,0.54%,4.24,0.90%,2.70%,3.00%,-,-,0.31,0.31,-,3.30%,1.70%,3.14%,-10.39%,6.25%,-5.48%,-9.21%,1.47%,0.35,0.17,0.93%,4.32%,1.13%,-1.53%,-3.03%,-13.75%,15.00%,-17.86%,15.00%,49.53,0.00%,-1.43%,-,5.25K,0.32,3.45,-1.43%,"1,694",Feb 13/a
10,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2.95B,22.03,13.12,1.84,0.90,1.88,23.37,24.09,0.29%,5.70%,1.89,2.70%,29.48%,5.90%,12.00%,9.80%,-12.70%,9.10%,70.75M,70.03M,1.20%,-8.84%,-,0.19%,6.13%,4.45,5.30%,9.00%,8.30%,-,-,0.24,0.24,91.70%,6.90%,4.10%,3.27%,2.89%,-0.88%,3.63%,32.44%,4.69%,0.20,1.16,2.62%,2.47%,2.87%,8.17%,6.46%,-1.90%,18.66%,-13.48%,59.72%,60.27,1.29%,-2.18%,1.70,965.07K,0.84,41.72,-0.93%,"810,921",Feb 16/b
